ID,Store ID,Country,Product ID,Product Category,Units Sold,Date of Sale,GDP Growth Rate,Inflation Rate,Price Sold
1,8036,Spain,18702,Mens,2,1/24/2024,7.07,0.17,50.1
2,3062,Spain,45156,Womens,9,11/12/2023,4,3.31,61.74
3,2912,Germany,87467,Mens,6,9/29/2023,1.13,-1.32,59.62
4,2037,Spain,90575,Womens,6,10/17/2023,4.13,-1.42,21.09
5,2377,UK,64318,Mens,4,2/8/2024,5.2,6.18,28.7
6,7423,Italy,63577,Womens,10,7/27/2023,-1.41,5.39,27.49
7,4091,Spain,17207,Mens,7,6/1/2023,1.8,8.6,19.99
8,5275,Germany,92758,Womens,1,1/4/2024,-3.9,8.01,84.39
9,8942,Germany,11604,Mens,4,5/31/2023,-2.72,-2.18,35.51
10,4137,Italy,85880,Womens,8,5/23/2023,3.75,7.77,99.89
11,2489,Italy,64975,Mens,7,3/2/2024,-3.39,-4.34,24.15
12,2826,Spain,21208,Mens,7,8/24/2023,4.21,3.58,66.37
13,8609,Spain,49710,Womens,2,2/9/2024,0.19,8.82,11.75
14,2912,Italy,62912,Mens,3,1/2/2024,8.95,8.27,88.47
15,5295,UK,99436,Mens,4,2/3/2024,8.13,10,14.18
16,5057,UK,33545,Mens,7,12/14/2023,0.81,7.86,41.39
17,6806,Spain,66947,Womens,2,12/26/2023,4.25,-3.7,86.8
18,1711,Spain,26185,Mens,2,6/5/2023,8.18,-3.32,96.59
19,3756,Germany,95022,Womens,2,2/22/2024,0.12,1.03,57.38
20,1390,Italy,70782,Mens,1,3/17/2023,-0.35,6.1,32.67
21,4091,France,87150,Mens,5,12/23/2023,4.67,-4.78,63.96
22,8519,UK,33271,Womens,9,10/29/2023,-2.47,5.62,84.01
23,4055,France,58191,Womens,9,8/1/2023,9.67,-0.33,84.84
24,8609,Germany,94992,Mens,2,9/27/2023,-4.66,-0.44,22.59
25,2269,Germany,49291,Mens,3,12/18/2023,9.35,-4.25,53.05
26,6185,Germany,98449,Mens,3,1/30/2024,3.97,1.93,32.26
27,7958,Germany,64848,Mens,9,10/16/2023,-2.31,-4.65,40.88
28,7345,UK,43919,Womens,3,1/25/2024,6.34,2.61,49.74
29,3188,Italy,24488,Womens,3,10/25/2023,-1.14,1.06,23.14
30,3217,Italy,60444,Mens,3,7/4/2023,6.79,9.07,78.36
31,8372,Spain,77647,Womens,1,1/25/2024,3.65,3.97,97.65
32,6613,Spain,86697,Mens,1,4/21/2023,0.26,9.14,88
33,7954,Spain,88257,Womens,9,9/30/2023,-4.39,3.93,23.41
34,1858,Spain,18673,Mens,8,10/14/2023,9.13,5.41,39.25
35,5429,France,38409,Mens,7,7/27/2023,5.62,-0.2,58.02
36,2251,France,88373,Mens,1,9/23/2023,2.53,-1.97,28.56
37,3247,France,18221,Mens,9,11/12/2023,8.44,8.3,98.01
38,6806,UK,60452,Womens,1,9/2/2023,1.51,-2.27,20.27
39,6613,Spain,87992,Womens,4,11/13/2023,3.86,8.47,93.81
40,5465,UK,22268,Mens,8,7/13/2023,4.77,5.87,66.9
41,4091,France,20474,Mens,7,6/30/2023,9.14,-4.78,40.3
42,8734,Germany,16420,Mens,6,4/17/2023,5.19,7.53,41.36
43,2743,UK,40629,Womens,3,10/16/2023,5.49,9.95,61.87
44,8637,Germany,75295,Womens,10,8/21/2023,-2.39,-2.7,23.25
45,5466,UK,76739,Mens,9,8/7/2023,-0.74,1.07,40.01
46,9481,France,42785,Womens,2,2/28/2024,7.23,7.05,76.71
47,1858,Italy,13901,Mens,4,5/22/2023,2.51,0.91,35.58
48,4836,Spain,79934,Womens,2,12/28/2023,4.91,6.45,59.21
49,7718,Spain,33939,Womens,3,6/23/2023,1.24,4.74,36.47
50,5645,Spain,11976,Mens,2,9/26/2023,4.24,6.89,64.23
51,2912,Germany,75451,Mens,6,4/5/2023,9.43,8.19,14.67
52,8643,Spain,26378,Womens,4,1/20/2024,2.66,0.06,82.77
53,6086,France,19955,Mens,8,9/1/2023,3.76,7.98,55.77
54,8693,UK,21985,Mens,10,2/13/2024,-1.55,-2.98,97.37
55,9681,France,83646,Womens,9,9/28/2023,-3.28,-3.18,62.78
56,9167,France,69214,Mens,8,9/7/2023,8.67,-0.01,43.99
57,2963,Germany,31325,Mens,3,5/29/2023,7.64,3.33,85.19
58,5688,Spain,47946,Mens,10,3/27/2023,-1.65,-1.31,52.9
59,2067,France,27454,Mens,7,1/14/2024,3.77,-3.43,73.71
60,2304,Germany,63359,Womens,4,7/24/2023,-2.56,-1.34,89.17
61,7217,France,16728,Womens,4,4/26/2023,0.02,0.26,50.29
62,5395,Italy,17397,Mens,7,5/8/2023,-2.9,4.28,32.87
63,6075,UK,42703,Mens,5,3/11/2023,-1.69,5.29,82.71
64,3631,Italy,97150,Mens,5,3/6/2024,4.18,9.36,31.3
65,5466,Spain,72418,Womens,10,5/26/2023,-1.35,-2.73,41.47
66,2251,UK,23809,Womens,3,9/30/2023,-2.85,7.84,54.89
67,7954,UK,79129,Mens,7,4/23/2023,-4.13,-2.18,83.05
68,4142,UK,90150,Mens,7,5/28/2023,1.62,0.69,10.46
69,2789,France,46343,Mens,9,10/29/2023,1.79,0.57,79.88
70,5085,France,31148,Mens,10,3/12/2023,9.23,2.79,94.3
71,9738,France,54138,Womens,8,3/5/2024,-3.49,-2.46,22.45
72,5901,Spain,30215,Mens,1,2/21/2024,-1.77,9.81,44.99
73,3161,Germany,65099,Mens,7,6/11/2023,-1.56,-2.96,78.89
74,8272,Italy,40310,Mens,10,7/8/2023,3.1,2.45,94.04
75,6613,France,75080,Mens,7,2/7/2024,0.28,4.81,25.54
76,1134,Spain,73927,Womens,4,10/12/2023,-4.54,-1.6,60.43
77,5429,Spain,46669,Mens,6,5/20/2023,4.86,7.37,23.04
78,8875,UK,69272,Womens,5,7/8/2023,-3.07,0.77,65.23
79,6871,Spain,89380,Mens,10,6/19/2023,4.06,3.42,97.86
80,2085,France,50733,Mens,8,2/7/2024,4.73,0.02,96.36
81,5251,UK,21867,Mens,5,12/29/2023,-3.07,2.34,20.62
82,6871,Italy,90895,Womens,2,1/7/2024,1.02,8.75,56.36
83,3217,Germany,29066,Mens,4,8/23/2023,-4.62,-0.6,47.57
84,4670,Germany,86450,Womens,6,4/20/2023,-3.97,7.28,25.72
85,7718,Spain,58425,Womens,6,4/19/2023,-2.42,5.46,48.57
86,7217,UK,71849,Womens,3,8/19/2023,-3.26,3.55,48.66
87,1893,UK,34023,Womens,7,1/16/2024,2.34,9.31,99.93
88,6742,Italy,90342,Womens,4,3/28/2023,-1.86,3.4,65.21
89,7345,Italy,33999,Mens,4,5/10/2023,-4.15,-0.2,64.6
90,3224,Germany,91666,Womens,5,9/7/2023,9.68,7.64,13.39
91,1567,UK,79594,Mens,9,3/28/2023,-2.68,-1.11,29.04
92,6742,Italy,43942,Mens,5,2/27/2024,6.53,-4.83,55.77
93,5663,France,52901,Mens,10,9/26/2023,-4.76,1.35,20.63
94,7861,Germany,68746,Womens,7,2/16/2024,0.63,6.22,75.7
95,8754,UK,15662,Mens,8,5/2/2023,5.96,6.15,16.17
96,3062,Germany,56249,Womens,5,2/24/2024,-1.77,6.48,77.37
97,1858,Spain,25361,Mens,8,7/22/2023,-4.66,-0.25,21.59
98,3510,Spain,59348,Mens,8,4/30/2023,4.45,-0.1,82.77
99,7345,France,15930,Mens,3,7/1/2023,6.64,-0.5,50.66
100,5251,France,28005,Mens,4,7/18/2023,-1.23,-2.7,48.82
101,7273,Spain,36712,Mens,6,2/11/2024,-0.08,6.31,22.76
102,7217,France,70782,Mens,4,10/14/2023,6.35,-0.88,76.16
103,4055,France,69246,Womens,1,5/22/2023,0.97,1.84,78.66
104,1893,Germany,51994,Womens,10,8/2/2023,7.74,-2.28,16.23
105,7634,UK,99168,Mens,1,12/19/2023,1.38,1.89,43.67
106,9420,France,42247,Womens,6,4/1/2023,4.23,7.38,44.99
107,8210,Italy,44027,Mens,7,12/17/2023,-2.43,-4.37,88.51
108,8875,Germany,37947,Womens,3,6/5/2023,-4.45,5.11,13.74
109,7156,Spain,50055,Mens,6,9/26/2023,7.55,-4.09,51.71
110,1265,Germany,11553,Womens,6,9/24/2023,-1.24,9.32,26.21
111,3622,Spain,98061,Womens,1,4/21/2023,-0.89,-0.36,55.96
112,5251,UK,26569,Mens,10,6/8/2023,3.8,7.65,74.05
113,5346,Germany,79455,Mens,10,4/3/2023,0.93,-3.51,18.71
114,5719,Italy,61866,Womens,9,1/16/2024,3.21,6.84,55.9
115,9028,Italy,87150,Mens,7,10/15/2023,3.19,6.26,13.74
116,9070,Spain,33310,Womens,10,11/19/2023,-4.24,1.91,70.02
117,2296,Germany,62091,Womens,5,6/23/2023,-4.56,1.6,75.97
118,9600,UK,14929,Mens,3,12/6/2023,4.61,7.08,93.42
119,6748,France,89074,Womens,3,8/7/2023,-2.88,9.37,26.47
120,1565,Spain,49647,Mens,10,5/31/2023,4.03,7.76,49.24
121,5057,Italy,87073,Mens,6,10/9/2023,0.14,-2.92,24.47
122,7420,UK,17301,Mens,9,3/1/2024,-1.78,7.26,97.59
123,3224,Spain,83001,Womens,2,9/19/2023,4.62,-4.44,76.51
124,2037,Spain,19697,Mens,1,4/30/2023,9.06,1.17,94.37
125,6026,Spain,65053,Womens,9,11/17/2023,8.32,-3.6,22.63
126,5232,Italy,69542,Mens,6,12/31/2023,-1.01,1.01,13.76
127,3510,Italy,69988,Mens,8,1/5/2024,7.09,3.13,10.1
128,9167,Spain,88538,Mens,7,1/1/2024,3.72,6.55,21.28
129,2251,France,19786,Womens,5,7/8/2023,9.79,5.72,60.79
130,4836,France,89794,Mens,9,1/17/2024,-4.33,-3.5,34.08
131,3158,France,46343,Mens,9,6/15/2023,2.12,5.22,93.62
132,9170,France,93218,Mens,3,12/25/2023,-4.88,-0.33,73.91
133,5719,UK,97322,Womens,2,7/25/2023,9.21,0.3,70.9
134,4371,France,72372,Mens,2,2/12/2024,9.39,0.41,12.31
135,8693,Italy,30215,Mens,9,3/23/2023,-2.05,3.29,95.84
136,6075,Spain,13493,Womens,5,6/22/2023,1.31,5.93,87.37
137,8103,Spain,57695,Womens,4,5/9/2023,6.05,6.18,35.41
138,1518,Germany,70968,Womens,5,3/9/2023,8.65,-4.22,36.01
139,5854,France,41989,Mens,2,10/21/2023,-4.02,-0.08,86.73
140,8693,Spain,85124,Womens,8,12/16/2023,-1.3,-2.72,21.33
